Symbol,Date,Open,High,Low,Close,Volume
NESTLE,17-Nov-22,5760,5760,5755,5755,60
NESTLE,21-Nov-22,5799,5800,5799,5800,80
NESTLE,22-Nov-22,5800,5800,5800,5800,20
NESTLE,24-Nov-22,5950,5950,5750,5842,200
NESTLE,25-Nov-22,5850,5851,5700,5766,380
NESTLE,28-Nov-22,5850,5850,5850,5850,40
NESTLE,29-Nov-22,6260,6270,5900,5900,80
NESTLE,30-Nov-22,5800.01,5980,5720,5810,220
NESTLE,1-Dec-22,5760,5810,5760,5760,60
NESTLE,2-Dec-22,5750,5949,5725,5781,180
NESTLE,6-Dec-22,5781,5781,5781,5781,100
NESTLE,8-Dec-22,5383,5849,5383,5781,280
NESTLE,9-Dec-22,5700,5781,5700,5781,100
NESTLE,12-Dec-22,5400.29,5650,5400.29,5650,60
NESTLE,14-Dec-22,5230.1,5500.01,5230.1,5500.01,40
NESTLE,15-Dec-22,5201.01,5481,5201.01,5481,140
NESTLE,19-Dec-22,5600,5600,5325.55,5340.28,80
NESTLE,20-Dec-22,5220,5400,5220,5250,300
NESTLE,21-Dec-22,4900.1,5355,4900.1,5350,100
NESTLE,22-Dec-22,5250.1,5250.1,5250.1,5250.1,20
NESTLE,23-Dec-22,5491,5491,4865,4865,40
NESTLE,26-Dec-22,5199.99,5229.87,5199.99,5229.87,40
NESTLE,27-Dec-22,5600,5620,5285.1,5577.75,280
NESTLE,28-Dec-22,5813,5850.05,5415,5415,240
NESTLE,29-Dec-22,5400,5821.12,5400,5781.24,1180
NESTLE,30-Dec-22,5800,6000,5781.24,5870,380
NESTLE,2-Jan-23,5850,5850,5850,5850,20
NESTLE,4-Jan-23,5900,5900,5750,5750,100
NESTLE,5-Jan-23,5610,5610,5610,5610,20
NESTLE,6-Jan-23,5211,5400.1,5211,5400.1,40
NESTLE,9-Jan-23,5220.1,5600,5220.1,5600,40
NESTLE,10-Jan-23,5360.1,5700,5360.1,5600.1,80
NESTLE,12-Jan-23,5850,5850,5850,5850,20
NESTLE,13-Jan-23,5780,5780,5600,5650,320
NESTLE,16-Jan-23,5455.1,5455.1,5260,5399,180
NESTLE,17-Jan-23,5595,5595,5595,5595,20
NESTLE,18-Jan-23,5400,5420,5260,5308,220
NESTLE,19-Jan-23,5305,5308,5250,5260,380
NESTLE,20-Jan-23,5202.02,5340,5200,5310,120
NESTLE,23-Jan-23,5215.01,5215.1,5190.01,5190.01,80
NESTLE,24-Jan-23,4975.1,5250,4975.1,5190,360
NESTLE,25-Jan-23,5190,5499.83,5065.01,5213,180
NESTLE,26-Jan-23,5055,5324.99,5055,5324.99,260
NESTLE,27-Jan-23,5250,5280,5200,5280,60
NESTLE,30-Jan-23,5250,5250,5160,5160,260
NESTLE,31-Jan-23,5115,5299.99,5100,5275,520
NESTLE,1-Feb-23,5200,5205.01,5200,5205.01,40
NESTLE,2-Feb-23,5298.98,5320,5205.01,5300,160
NESTLE,3-Feb-23,5364,5364,5364,5364,20
NESTLE,6-Feb-23,5210.1,5299.99,5202.02,5299.99,300
NESTLE,7-Feb-23,5220,5338.99,5220,5338.99,160
NESTLE,8-Feb-23,5300,5315,5300,5315,40
NESTLE,9-Feb-23,5669.99,5669.99,5315.01,5534.99,100
NESTLE,10-Feb-23,5400,5525,5400,5441.67,260
NESTLE,13-Feb-23,5499,5800,5438,5450,180
NESTLE,14-Feb-23,5381,5499,5315.1,5399,260
NESTLE,15-Feb-23,5485,5485,5338,5354.95,100
NESTLE,16-Feb-23,5399,5399,5375,5381.05,100
NESTLE,20-Feb-23,5313,5399,5313,5399,60
NESTLE,22-Feb-23,5335.01,5335.01,5314,5314,80
NESTLE,23-Feb-23,5300,5300,5300,5300,260
NESTLE,27-Feb-23,5250.25,5320,5250.25,5300,60
NESTLE,28-Feb-23,5200,5240,5200,5240,60
NESTLE,1-Mar-23,5470,5470,5460,5464,80
NESTLE,2-Mar-23,5400,5400,5256.56,5299.78,5220
NESTLE,3-Mar-23,5290,5400,5290,5400,140
NESTLE,6-Mar-23,5445,5445,5266.02,5266.03,60
NESTLE,7-Mar-23,5265,5265,5265,5265,20
NESTLE,8-Mar-23,5495,5495,5495,5495,20
NESTLE,13-Mar-23,5478,5478.08,5355,5355,60
NESTLE,14-Mar-23,5355.01,5355.01,5290,5295,240
NESTLE,16-Mar-23,5115,5115,5115,5115,20
NESTLE,21-Mar-23,5490,5490,4752,5181,60
NESTLE,22-Mar-23,5201.01,5201.01,5000.15,5000.15,120
NESTLE,24-Mar-23,5299.99,5300,5100.1,5100.1,240
NESTLE,27-Mar-23,5000.1,5200,5000.1,5155.05,60
NESTLE,28-Mar-23,5300,5300,5200.1,5233.7,60
NESTLE,29-Mar-23,5102,5105,5102,5103.5,40
NESTLE,30-Mar-23,5125,5155,4855,4977.4,300
NESTLE,31-Mar-23,5280,5280,5015,5017.5,60
NESTLE,4-Apr-23,5390.9,5390.9,4887.1,5115,60
NESTLE,5-Apr-23,4950.1,5125,4950.1,5125,360
NESTLE,6-Apr-23,5200,5225,5030,5198.2,460
NESTLE,7-Apr-23,5198.2,5199,5005,5071.33,80
